blue,green,red,ndwi,brightness,label,source_file
0.42261872,0.3589992,0.24237467,0.19392982,0.34133086,1,GSL_1996_04.tif
0.44957864,0.38198107,0.26145488,0.18731624,0.3643382,1,GSL_1996_04.tif
0.45746747,0.40100056,0.26679733,0.20096353,0.37508845,1,GSL_1996_04.tif
0.48641875,0.42662406,0.28726083,0.19521779,0.4001012,1,GSL_1996_04.tif
0.49664363,0.43837914,0.2942251,0.19676904,0.4097493,1,GSL_1996_04.tif
0.3882295,0.3091611,0.17368598,0.280575,0.29035887,1,GSL_1996_04.tif
0.40515602,0.33408016,0.20679012,0.23534256,0.3153421,1,GSL_1996_04.tif
0.41564894,0.35125053,0.23703222,0.19415513,0.33464393,1,GSL_1996_04.tif
0.47512165,0.41768664,0.26355368,0.22625309,0.38545397,1,GSL_1996_04.tif
0.5035751,0.44388247,0.28940734,0.2106601,0.4122883,1,GSL_1996_04.tif
0.34212187,0.26222876,0.16452749,0.22893873,0.2562927,1,GSL_1996_04.tif
0.3600441,0.28802833,0.1848479,0.21819705,0.2776401,1,GSL_1996_04.tif
0.38784653,0.31558898,0.21623482,0.18681745,0.3065568,1,GSL_1996_04.tif
0.4292821,0.39215124,0.25205788,0.2174653,0.3578304,1,GSL_1996_04.tif
0.44180468,0.39285564,0.26145488,0.20082293,0.36537173,1,GSL_1996_04.tif
0.2933336,0.21459197,0.15298398,0.16760568,0.22030318,1,GSL_1996_04.tif
0.32006374,0.25941104,0.16052066,0.23549101,0.24666516,1,GSL_1996_04.tif
0.3576315,0.29282722,0.19629602,0.19735517,0.28225157,1,GSL_1996_04.tif
0.39657786,0.32835668,0.21962155,0.19842929,0.31485203,1,GSL_1996_04.tif
0.4128151,0.35803062,0.25992846,0.15875159,0.34359136,1,GSL_1996_04.tif
0.23504806,0.21459197,0.05166817,0.6118947,0.16710274,1,GSL_1996_04.tif
0.27433908,0.2368254,0.09760373,0.4162952,0.20292275,1,GSL_1996_04.tif
0.28494692,0.23603292,0.123266585,0.31384963,0.21474881,1,GSL_1996_04.tif
0.3113707,0.25064975,0.1539857,0.23889112,0.23866872,1,GSL_1996_04.tif
0.32657397,0.2697573,0.17683423,0.20807126,0.2577218,1,GSL_1996_04.tif
0.28119203,0.15321304,0.16087322,-0.0243887,0.19842608,0,GSL_2000_03.tif
0.3035979,0.16782427,0.16363019,0.012653527,0.21168411,0,GSL_2000_03.tif
0.2092926,0.08600134,0.11235062,-0.1328404,0.13588153,0,GSL_2000_03.tif
0.23729993,0.14192711,0.14168474,0.00085457123,0.17363726,0,GSL_2000_03.tif
0.35710445,0.25357714,0.22902541,0.050873507,0.27990234,0,GSL_2000_03.tif
0.24984053,0.124796696,0.14201558,-0.06453532,0.17221761,0,GSL_2000_03.tif
0.259455,0.14716701,0.15679291,-0.031668205,0.18780498,0,GSL_2000_03.tif
0.2684006,0.18576083,0.15127897,0.10230765,0.20181346,0,GSL_2000_03.tif
0.28503782,0.18042018,0.17245246,0.0225795,0.21263683,0,GSL_2000_03.tif
0.33812633,0.24299657,0.20906498,0.07505952,0.26339594,0,GSL_2000_03.tif
0.3480752,0.21669635,0.21027803,0.015032055,0.25834987,0,GSL_2000_03.tif
0.30125698,0.16631277,0.16826189,-0.005825638,0.21194386,0,GSL_2000_03.tif
0.2928966,0.20712347,0.19119984,0.039976556,0.23040664,0,GSL_2000_03.tif
0.30936658,0.18324165,0.16704881,0.046226755,0.21988569,0,GSL_2000_03.tif
0.32182357,0.17830406,0.16418158,0.041235145,0.2214364,0,GSL_2000_03.tif
0.36095023,0.26546764,0.28223485,-0.030613651,0.30288425,0,GSL_2000_03.tif
0.27517253,0.13406727,0.15326399,-0.066810176,0.18750127,0,GSL_2000_03.tif
0.27124316,0.14948465,0.1583368,-0.028757336,0.19302154,0,GSL_2000_03.tif
0.27358407,0.13598184,0.15006591,-0.049236607,0.18654394,0,GSL_2000_03.tif
0.3080289,0.15583298,0.16131432,-0.01728323,0.20839207,0,GSL_2000_03.tif
0.3206531,0.23735362,0.22163674,0.034242213,0.25988117,0,GSL_2000_03.tif
0.30042094,0.19402374,0.19042788,0.009353191,0.22829086,0,GSL_2000_03.tif
0.27960354,0.1527092,0.15403594,-0.0043252045,0.19544955,0,GSL_2000_03.tif
0.29272938,0.15149999,0.15039675,0.0036543407,0.1982087,0,GSL_2000_03.tif
0.24357024,0.15099616,0.14885284,0.007147985,0.18113975,0,GSL_2000_03.tif
0.50721264,0.38559642,0.24127339,0.23022772,0.37802747,0,GSL_2001_04.tif
0.363171,0.38551447,0.2614211,0.19181687,0.3367022,0,GSL_2001_04.tif
0.4858543,0.369739,0.22636054,0.24052729,0.36065128,0,GSL_2001_04.tif
0.7308134,0.60337996,0.38521087,0.22068672,0.5731347,0,GSL_2001_04.tif
0.98398983,0.67709446,0.44481823,0.20703575,0.70196754,0,GSL_2001_04.tif
0.54123664,0.5629374,0.36075205,0.21888863,0.48830867,0,GSL_2001_04.tif
0.1975333,0.113766514,0.088713735,0.12372888,0.13333786,0,GSL_2001_04.tif
0.23047067,0.14236726,0.10578212,0.14743131,0.15954001,0,GSL_2001_04.tif
0.47593912,0.36822292,0.22174153,0.24828808,0.35530117,0,GSL_2001_04.tif
0.63933575,0.51573384,0.3289908,0.22106947,0.4946868,0,GSL_2001_04.tif
0.54687333,0.47779077,0.38142765,0.11215194,0.46869722,0,GSL_2001_04.tif
0.26388344,0.16572316,0.099183515,0.2511805,0.17626338,0,GSL_2001_04.tif
0.21933308,0.13556536,0.104726344,0.12833937,0.15320826,0,GSL_2001_04.tif
0.10816091,0.041076396,0.034781177,0.08298626,0.061339498,0,GSL_2001_04.tif
0.101471566,0.044477344,0.020836134,0.36195976,0.05559501,0,GSL_2001_04.tif
0.45193216,0.4455842,0.31588155,0.17033266,0.404466,0,GSL_2001_04.tif
0.3235782,0.2267763,0.15892285,0.1759228,0.2364258,0,GSL_2001_04.tif
0.16805942,0.087132595,0.073844895,0.082543336,0.10967896,0,GSL_2001_04.tif
0.0857499,0.025259946,0.028974408,-0.068487845,0.046661418,0,GSL_2001_04.tif
0.11216772,0.060334772,0.030162156,0.33340672,0.06755488,0,GSL_2001_04.tif
0.66993016,0.5391717,0.36321554,0.19498941,0.5241058,0,GSL_2001_04.tif
0.63862264,0.49704915,0.33286196,0.19783685,0.48951125,0,GSL_2001_04.tif
0.2933573,0.20022433,0.15672332,0.12186907,0.21676832,0,GSL_2001_04.tif
0.18466394,0.12462496,0.075560525,0.24509366,0.12828314,0,GSL_2001_04.tif
0.15298292,0.10049053,0.054445006,0.2971896,0.10263949,0,GSL_2001_04.tif
0.0011551603,0.005763345,0.038240664,-0.73803693,0.015053056,1,GSL_2007_10.tif
0.002197067,0.0138166705,0.029989913,-0.36918825,0.01533455,1,GSL_2007_10.tif
0.37130207,0.33836567,0.37354922,-0.049420934,0.3610723,0,GSL_2015_09.tif
0.38106352,0.34625417,0.37577224,-0.040882196,0.36769664,0,GSL_2015_09.tif
0.367093,0.33640203,0.3693625,-0.046701733,0.35761917,0,GSL_2015_09.tif
0.23153724,0.19149773,0.24509561,-0.12276357,0.22271019,0,GSL_2015_09.tif
0.22920883,0.19115916,0.24646649,-0.12638016,0.22227816,0,GSL_2015_09.tif
0.37783957,0.3342691,0.36658373,-0.046107512,0.35956416,0,GSL_2015_09.tif
0.43479627,0.39551488,0.4246787,-0.035557218,0.41832995,0,GSL_2015_09.tif
0.3315697,0.29032382,0.32434633,-0.05535075,0.31541327,0,GSL_2015_09.tif
0.21508905,0.17649946,0.2277931,-0.12687227,0.20646054,0,GSL_2015_09.tif
0.22637293,0.19149773,0.2435395,-0.11962573,0.22047006,0,GSL_2015_09.tif
0.41178074,0.3782482,0.4157125,-0.04718652,0.4019138,0,GSL_2015_09.tif
0.35192844,0.30379856,0.34954056,-0.07001254,0.3350892,0,GSL_2015_09.tif
0.2786131,0.23794836,0.2842949,-0.08874495,0.26695213,0,GSL_2015_09.tif
0.32001716,0.27447915,0.3157877,-0.06998272,0.303428,0,GSL_2015_09.tif
0.15123665,0.1167095,0.17825677,-0.20865794,0.14873432,0,GSL_2015_09.tif
0.37730223,0.3301725,0.37321576,-0.061194073,0.36023018,0,GSL_2015_09.tif
0.27771756,0.2325991,0.3001154,-0.1267399,0.27014402,0,GSL_2015_09.tif
0.3453611,0.29479283,0.33516502,-0.06408703,0.32510632,0,GSL_2015_09.tif
0.1337735,0.10394573,0.16895713,-0.23822087,0.13555878,0,GSL_2015_09.tif
0.29980767,0.25602755,0.31400928,-0.10171558,0.28994817,0,GSL_2015_09.tif
0.29676282,0.24783435,0.3084888,-0.10902713,0.284362,0,GSL_2015_09.tif
0.35894355,0.31199175,0.35687655,-0.06710549,0.34260395,0,GSL_2015_09.tif
0.17320737,0.138479,0.20096864,-0.18409161,0.17088501,0,GSL_2015_09.tif
0.2119845,0.17754899,0.24687403,-0.16333911,0.21213585,0,GSL_2015_09.tif
0.35873458,0.2905608,0.3480215,-0.08998151,0.33243898,0,GSL_2015_09.tif
0.3981742,0.28609544,0.2680132,0.032632947,0.3174276,0,GSL_1999_11.tif
0.44264638,0.3299511,0.30149975,0.04505704,0.35803244,0,GSL_1999_11.tif
0.4679198,0.33202234,0.3124123,0.0304298,0.3707848,0,GSL_1999_11.tif
0.47646925,0.3739869,0.35178307,0.030593442,0.40074643,0,GSL_1999_11.tif
0.38819984,0.2978023,0.29304788,0.008046737,0.32635,0,GSL_1999_11.tif
0.40889853,0.29834262,0.27068785,0.048599713,0.32597634,0,GSL_1999_11.tif
0.4364968,0.32193643,0.2936898,0.045882702,0.35070768,0,GSL_1999_11.tif
0.4364968,0.32193643,0.29636443,0.04135844,0.35159922,0,GSL_1999_11.tif
0.42149773,0.30473638,0.28513092,0.033237007,0.3371217,0,GSL_1999_11.tif
0.44467127,0.33922654,0.30952367,0.04578469,0.36447382,0,GSL_1999_11.tif
0.3806253,0.27618966,0.24672304,0.056350816,0.30117932,0,GSL_1999_11.tif
0.39914915,0.28024203,0.2763581,0.006977938,0.3185831,0,GSL_1999_11.tif
